#num jobs
30
#num machines
4

#jobId machId procTime energyCons
1	1	99,03	834,54
2	3	2,7	15,24
2	2	111,04	711,75
2	1	9,46	79,69
3	3	27,21	153,63
3	1	43,59	367,36
4	2	6,78	43,45
4	3	80,88	456,6
5	1	10,72	90,31
6	2	7,25	46,44
6	3	389,7	2200,11
7	3	1,55	8,74
8	2	11,85	75,97
9	4	1,92	3,19
9	3	38,31	216,28
9	2	8,05	51,6
10	4	62,8	104,4
10	3	3,05	17,2
11	3	11,57	65,3
11	4	36,93	61,4
12	1	4,06	34,2
12	4	4,79	7,97
13	2	5,55	35,59
13	4	2,03	3,37
14	4	24,75	41,14
14	3	75,77	427,75
14	2	3,4	21,82
14	1	2,17	18,25
15	3	1230,36	6946,11
15	2	16,79	107,61
16	3	38,66	218,23
17	3	2,02	11,39
17	1	16,31	137,46
18	1	17,23	145,24
19	3	28,17	159,02
20	1	13,86	116,8
20	4	5,12	8,52
21	2	20,24	129,74
21	4	35,56	59,11
22	1	29,63	249,69
23	4	36,53	60,73
23	3	1,32	7,44
23	1	18,34	154,6
24	1	3,86	32,52
24	4	4,22	7,02
25	1	7,75	65,31
25	2	45,93	294,39
26	2	16,97	108,78
27	2	2	12,81
27	3	4,24	23,92
28	4	0,93	1,54
28	2	14,3	91,69
28	1	14,23	119,94
29	1	21,98	185,22
29	2	3,54	22,69
30	4	1,46	2,42
30	1	56,45	475,71

#jobId ddate weight rdate
1	523,751	9	332,277
2	529,164	44	279,167
3	434,078	44	367,419
4	592,33	24	14,201
5	420,637	28	241,72
6	469,481	46	311,501
7	587,344	27	371,223
8	756,913	32	138,174
9	566,309	33	354,047
10	528,886	1	233,368
11	497,787	9	105,803
12	545,283	46	186,014
13	481,061	49	440,316
14	492,478	35	113,74
15	559,465	16	415,028
16	374,148	39	35,33
17	381,434	14	233,748
18	636,582	12	103,893
19	449,088	22	212,035
20	608,958	41	408,053
21	469,985	15	350,389
22	763,297	39	94,544
23	509,819	7	320,552
24	656,683	35	433,617
25	788,754	29	94,866
26	747,278	19	197,448
27	513,845	36	192,16
28	766,648	49	147,452
29	693,197	1	306,402
30	788,085	47	96,195

