#num jobs
50
#num machines
6

#jobId machId procTime energyCons
1	2	29,59	105,07
1	5	2,98	3,69
1	6	1,86	14,18
2	4	1,48	6,61
2	3	4,06	33,99
3	3	5,65	47,24
3	2	2,05	7,28
4	1	94,52	467,71
4	6	11,55	88,16
5	1	1,09	5,39
5	4	8,2	36,52
6	5	85,39	105,62
6	1	14,25	70,5
7	4	9,31	41,45
7	6	5,74	43,8
8	4	5,47	24,34
8	1	13,4	66,33
9	6	71,63	546,73
9	4	25,77	114,74
9	2	8,09	28,71
10	1	8,13	40,21
10	3	0,04	0,3
11	4	5,02	22,37
11	1	24,64	121,9
12	4	25,11	111,84
12	1	23,62	116,86
13	5	2,01	2,48
13	4	1,3	5,78
13	1	8,09	40,03
14	5	1237,03	1530,02
14	3	14,71	123,08
14	1	1,55	7,67
15	1	753,78	3729,82
16	4	5,63	25,05
17	3	12,33	103,17
17	1	3,94	19,5
18	3	2,7	22,57
19	1	1,51	7,47
19	4	30,33	135,08
19	5	105,76	130,81
20	5	31,5	38,96
20	2	70,77	251,27
21	4	6,35	28,25
21	6	2,27	17,3
22	1	13,43	66,45
22	4	2,73	12,17
22	6	2,77	21,13
23	1	63,51	314,25
23	4	7,4	32,95
24	5	0,95	1,17
24	4	4,02	17,9
24	2	2,16	7,65
25	6	2,12	16,19
25	4	6,59	29,35
26	4	20,47	91,16
26	1	9,22	45,61
27	1	2,04	10,08
27	2	7,25	25,75
27	5	1,22	1,51
27	6	8,46	64,59
28	1	10,98	54,34
28	3	2,02	16,94
28	4	10,65	47,42
28	6	110,81	845,8
29	5	13,88	17,16
29	1	33,02	163,37
30	1	20,37	100,8
30	2	2,37	8,41
30	3	10,45	87,45
30	6	64,3	490,75
31	5	63,97	79,12
32	5	3,88	4,8
32	2	19,35	68,71
32	1	43,3	214,23
33	2	55,62	197,49
34	5	17,56	21,72
34	6	6,12	46,75
35	6	4,22	32,24
35	5	5,24	6,48
35	4	7,4	32,93
36	6	6,82	52,04
37	3	21,77	182,12
37	2	14,48	51,4
37	1	7,88	39
38	4	24,59	109,5
39	2	3,1	10,99
39	3	17,59	147,19
39	4	3,94	17,56
39	5	114,89	142,11
40	4	5,64	25,1
40	3	248,62	2080,33
41	1	11,91	58,92
42	6	14	106,86
43	3	0,33	2,75
43	4	5,73	25,51
44	5	907,54	1122,49
44	4	22,39	99,7
44	3	218,54	1828,69
45	6	11,34	86,55
46	1	7,05	34,9
46	2	51,99	184,6
46	3	59,93	501,45
47	3	29,24	244,65
47	2	102,33	363,32
48	6	5,97	45,53
49	5	2,67	3,3
49	3	11,93	99,82
49	2	5,25	18,64
50	6	66,27	505,77
50	5	2,64	3,26
50	2	397,27	1410,53
50	1	6,63	32,8

#jobId ddate weight rdate
1	189,288	49	1187,616
2	347,29	6	792,178
3	134,114	18	1144,416
4	322,953	21	644,471
5	663,205	34	121,663
